iter	Logloss
0	0.6789777161
1	0.666419653
2	0.6555793071
3	0.6457948599
4	0.6364801932
5	0.6281864357
6	0.6209772518
7	0.614884934
8	0.6089091883
9	0.6038576119
10	0.5991905026
11	0.5947374373
12	0.5904699695
13	0.5869683509
14	0.5837353427
15	0.5807849144
16	0.5782842054
17	0.5756680153
18	0.5734694027
19	0.5714129524
20	0.569602271
21	0.5679185813
22	0.5664522564
23	0.564833663
24	0.5636490441
25	0.5626671108
26	0.5616912474
27	0.5607558282
28	0.5598865428
29	0.5590213556
30	0.5583105226
31	0.5577001514
32	0.5569708972
33	0.5562783099
34	0.5557253206
35	0.5553122859
36	0.5549528485
37	0.5544976726
38	0.553993843
39	0.5536051408
40	0.5531416564
41	0.552735879
42	0.5524912171
43	0.552256513
44	0.5518894058
45	0.5515348542
46	0.5512733706
47	0.5510399836
48	0.5508013607
49	0.550564068
50	0.5503522232
51	0.5501096878
52	0.5498506911
53	0.5496351876
54	0.5494109689
55	0.5492348799
56	0.5491053071
57	0.5489488668
58	0.548785294
59	0.548695216
60	0.5485055131
61	0.5483843302
62	0.5483018692
63	0.5482213121
64	0.5481239023
65	0.5479733458
66	0.5478657179
67	0.5477213642
68	0.5476300246
69	0.5475442786
70	0.5474692239
71	0.5473986535
72	0.5473331863
73	0.5472536584
74	0.5471301633
75	0.547030877
76	0.5469006601
77	0.5468307674
78	0.5467445808
79	0.5466754454
80	0.546616698
81	0.5465201037
82	0.546409558
83	0.5463315062
84	0.5462896143
85	0.5462195445
86	0.5461603135
87	0.5460716123
88	0.545999047
89	0.5459316371
90	0.5458134641
91	0.5456980786
92	0.5456505311
93	0.545597519
94	0.5455489135
95	0.5454995274
96	0.5453949335
97	0.5453809568
98	0.5453356511
99	0.5452745604
100	0.5451864595
101	0.5451588312
102	0.5450598709
103	0.5449825106
104	0.5449498063
105	0.544890907
106	0.5448006653
107	0.5447314352
108	0.5446008257
109	0.544542077
110	0.5445176415
111	0.5444766079
112	0.5444474242
113	0.544394035
114	0.5443640767
115	0.5442907423
116	0.5442424471
117	0.5442027374
118	0.5441208656
119	0.5440594567
120	0.5439805174
121	0.5438797798
122	0.5438199386
123	0.5437663409
124	0.5437179726
125	0.5436436086
126	0.5435636701
127	0.5435278513
